student_id,age,gender,course,year,daily_study_hours,daily_sleep_hours,screen_time_hours,stress_level,anxiety_score,depression_score,academic_pressure_score,financial_stress_score,social_support_score,physical_activity_hours,sleep_quality,attendance_percentage,cgpa,internet_quality,burnout_level
100001,23,Male,BTech,1st,4.3,6.8,6.1,High,10,3,4,2,6,1.8,Average,66.5,9.63,Good,High
100002,20,Male,BTech,3rd,1.4,4.7,3.0,High,2,10,8,5,9,1.9,Poor,55.8,6.04,Poor,Low
100003,24,Female,BCA,4th,3.7,4.8,1.5,Low,2,7,8,6,3,0.8,Good,85.0,8.31,Good,High
100004,21,Male,BSc,4th,1.6,6.7,7.0,High,3,3,4,9,9,0.7,Poor,89.1,5.95,Good,High
100005,23,Other,BSc,4th,2.0,6.7,5.4,High,7,7,6,4,4,1.7,Good,58.7,8.51,Good,Low
100006,19,Male,BSc,3rd,8.2,4.8,4.1,High,8,4,9,8,2,1.9,Poor,51.7,6.82,Average,Low
100007,23,Other,BSc,2nd,3.0,8.0,7.8,Low,5,9,9,2,6,0.5,Average,77.1,5.36,Average,Low
100008,24,Male,BTech,2nd,4.6,6.3,7.6,Medium,5,10,3,10,6,0.6,Poor,59.3,5.91,Average,Low
100009,21,Male,MBA,3rd,8.1,5.4,1.3,Low,1,1,7,2,1,1.7,Average,70.6,7.23,Average,Low
100010,20,Male,BCA,3rd,9.7,7.0,11.5,Medium,4,2,4,3,7,1.3,Poor,65.0,6.26,Poor,Medium
100011,24,Female,BTech,4th,2.2,6.0,6.4,Low,2,3,9,8,1,1.2,Poor,99.2,9.31,Good,Low
100012,24,Other,BSc,4th,8.9,5.4,3.5,High,3,5,4,1,10,1.7,Average,88.5,5.62,Average,Low
100013,19,Male,MCA,1st,3.8,7.2,1.5,High,1,2,1,6,3,0.5,Good,90.3,9.53,Average,Low
100014,22,Other,BBA,4th,8.6,6.3,1.6,High,9,6,9,7,1,0.7,Good,85.1,4.06,Good,Medium
100015,21,Other,MBA,3rd,5.3,5.0,1.1,Medium,2,2,7,9,1,1.2,Good,87.4,8.6,Average,Medium
100016,18,Female,BSc,4th,2.1,7.9,10.5,Medium,5,4,3,5,9,1.3,Poor,83.6,9.07,Poor,High
100017,24,Male,MCA,2nd,6.3,8.4,11.1,High,7,5,4,4,5,1.6,Average,92.8,5.8,Good,Medium
100018,22,Female,BBA,1st,8.8,5.3,3.2,High,7,9,6,8,10,0.9,Good,85.7,8.64,Average,Medium
100019,18,Male,MBA,2nd,8.8,5.1,5.7,High,8,6,10,5,4,1.6,Good,98.5,8.8,Average,Medium
100020,21,Female,MCA,3rd,5.5,6.9,9.3,High,3,8,10,1,7,1.8,Poor,66.6,9.45,Poor,Medium
100021,17,Male,BBA,1st,6.5,8.6,11.9,Low,9,6,10,4,5,1.1,Average,92.8,6.0,Poor,Medium
100022,22,Female,MCA,4th,9.2,4.0,10.4,High,7,9,6,3,7,1.0,Good,92.8,5.45,Good,High
100023,25,Male,MBA,3rd,3.7,6.4,8.9,Low,4,2,3,4,2,1.5,Good,53.9,4.46,Average,Low
100024,17,Other,MCA,3rd,7.4,8.2,11.7,Medium,5,3,7,7,6,1.2,Average,99.8,9.58,Poor,Low
100025,19,Male,BSc,4th,4.6,8.2,2.7,Low,1,1,6,3,5,0.8,Average,68.3,6.82,Average,Low
100026,23,Male,BTech,1st,8.1,8.9,11.2,High,8,6,9,2,6,1.4,Good,60.6,4.54,Poor,High
100027,20,Other,BTech,1st,4.4,8.7,10.7,Low,3,10,3,6,6,0.4,Good,97.4,9.12,Poor,Low
100028,25,Female,BSc,1st,6.0,5.0,11.2,High,8,5,1,2,2,1.6,Average,93.2,9.24,Average,Low
100029,19,Male,MBA,3rd,4.0,4.5,1.3,Medium,7,6,5,4,1,0.6,Poor,67.4,5.04,Poor,Medium
100030,21,Female,BTech,3rd,6.0,7.5,11.2,Low,5,6,1,5,9,0.1,Good,62.5,4.72,Poor,Medium
100031,19,Other,MBA,4th,7.4,4.3,5.6,High,1,7,9,9,1,0.1,Poor,57.8,4.0,Good,Low
100032,23,Female,BSc,1st,1.1,6.9,7.8,Medium,2,6,5,1,1,1.0,Good,62.9,9.34,Poor,Low
100033,21,Other,BBA,4th,9.9,7.5,1.1,Low,8,10,8,10,10,0.4,Good,51.8,5.67,Average,High
100034,25,Other,BTech,3rd,1.8,6.6,10.5,Low,9,7,4,7,3,0.1,Average,57.2,9.31,Average,Low
100035,23,Male,BSc,4th,3.6,5.0,9.6,Medium,4,3,3,1,9,2.0,Poor,66.4,4.37,Good,Low
100036,18,Female,BTech,2nd,4.6,8.3,11.6,Medium,9,9,4,9,2,1.1,Average,83.3,9.29,Poor,Low
100037,20,Other,MCA,1st,5.7,6.8,3.6,Medium,10,1,1,9,2,0.5,Poor,54.3,9.46,Poor,Low
100038,25,Male,MCA,3rd,6.5,7.5,8.6,Medium,5,4,8,6,1,0.0,Average,54.2,5.48,Good,Medium
100039,18,Other,BBA,2nd,8.2,7.4,9.8,Medium,3,9,2,10,2,0.4,Poor,91.1,10.0,Good,Low
100040,25,Male,BSc,3rd,5.5,6.7,2.7,Medium,8,7,2,8,3,1.6,Good,97.4,5.66,Good,Low
100041,21,Female,BSc,3rd,9.4,4.9,4.2,High,10,1,1,2,10,0.6,Average,50.8,4.96,Good,High
100042,18,Male,MBA,3rd,6.5,4.1,2.8,High,5,6,3,9,2,1.3,Poor,79.0,9.77,Good,Medium
100043,20,Female,BCA,3rd,5.0,8.9,7.3,Medium,6,6,7,8,2,0.8,Poor,67.8,7.54,Poor,High
100044,23,Other,BTech,3rd,8.1,4.4,3.8,Medium,9,3,10,6,4,0.2,Average,61.5,4.87,Good,High
100045,24,Female,BBA,4th,5.4,4.1,1.3,Low,1,8,2,9,4,1.7,Poor,79.2,9.38,Poor,Low
100046,19,Male,BTech,3rd,9.6,4.1,2.0,Medium,7,1,4,1,6,0.6,Good,78.6,8.49,Poor,Low
100047,17,Female,BCA,4th,9.1,6.5,11.0,Medium,5,9,10,8,1,1.1,Poor,72.4,7.1,Good,High
100048,20,Female,BBA,3rd,6.7,8.7,5.2,Low,7,7,9,3,4,0.1,Average,81.9,7.85,Poor,High
100049,18,Female,MCA,2nd,5.7,4.8,5.0,High,7,10,5,8,4,0.4,Good,84.4,5.99,Average,Medium
100050,24,Other,BBA,1st,4.8,4.7,3.7,High,5,2,5,4,9,1.2,Average,56.7,8.81,Poor,High
100051,20,Male,BTech,1st,8.4,5.9,10.6,High,10,9,6,3,4,0.7,Good,87.1,8.27,Good,Low
100052,18,Other,BBA,3rd,6.0,4.9,3.8,Low,7,1,8,6,4,1.2,Good,92.0,7.65,Good,High
100053,22,Female,BTech,3rd,9.8,6.4,8.6,High,2,10,5,6,1,1.8,Poor,62.1,7.16,Average,Medium
100054,22,Other,BSc,4th,4.0,6.9,3.8,High,1,7,9,1,9,1.0,Average,59.8,7.23,Average,Low
100055,20,Other,MBA,3rd,4.7,8.4,8.8,High,10,7,10,5,5,0.3,Good,97.0,7.89,Average,Medium
100056,22,Other,BCA,1st,5.2,7.8,1.6,Medium,3,2,9,2,5,0.2,Average,53.3,4.89,Good,High
100057,18,Male,BSc,1st,9.6,8.0,1.2,Low,8,8,6,3,7,0.6,Average,64.5,4.03,Good,Low
100058,18,Other,MCA,2nd,6.3,8.3,3.9,Low,4,2,1,2,4,0.7,Good,56.9,8.91,Average,Medium
100059,20,Female,BCA,3rd,2.2,5.6,2.1,Low,9,9,7,8,10,0.1,Average,53.1,9.37,Good,Medium
100060,24,Male,MBA,4th,3.1,6.5,8.9,Medium,9,2,4,9,9,1.8,Average,88.3,4.18,Poor,High
100061,23,Other,BCA,1st,8.3,8.6,9.4,Medium,8,8,3,8,7,0.2,Poor,66.0,7.08,Good,Low
100062,25,Female,BTech,2nd,1.8,6.4,5.4,Low,5,1,10,3,6,0.4,Good,61.1,4.97,Average,High
100063,24,Male,BBA,3rd,4.7,5.4,8.2,Medium,9,5,3,6,3,1.8,Average,98.3,5.68,Average,Low
100064,21,Other,BTech,3rd,6.8,8.5,5.6,Medium,2,8,2,5,1,1.4,Good,85.0,6.37,Average,Medium
100065,18,Male,MCA,3rd,6.9,4.8,9.1,High,6,3,2,3,8,1.4,Poor,67.8,4.87,Poor,Medium
100066,21,Female,BTech,2nd,6.2,8.6,6.0,High,6,1,6,6,4,0.4,Poor,59.1,7.05,Poor,High
100067,24,Other,BBA,1st,5.2,4.8,9.7,Medium,10,4,9,10,10,0.3,Poor,51.4,9.85,Average,Medium
100068,25,Female,BBA,3rd,4.2,6.1,5.8,Medium,9,10,6,10,2,0.5,Poor,87.5,4.33,Good,Low
100069,25,Female,BBA,4th,8.8,4.8,2.7,Low,1,8,5,7,7,0.7,Good,68.2,8.24,Average,Medium
100070,17,Female,BCA,3rd,1.1,7.6,2.3,High,6,7,3,8,6,0.9,Poor,67.7,4.9,Good,Medium
100071,25,Male,BTech,2nd,7.0,5.8,1.0,Medium,8,8,7,8,9,0.9,Average,58.2,6.19,Average,Medium
100072,23,Male,BCA,2nd,5.6,5.0,7.4,Low,1,5,1,5,3,0.7,Average,54.1,6.53,Average,Medium
100073,25,Female,MBA,2nd,2.5,5.5,9.6,High,1,1,10,2,8,0.1,Poor,60.4,6.3,Average,High
100074,24,Female,BTech,1st,3.8,7.8,11.4,High,10,6,3,3,2,1.2,Poor,77.8,4.96,Average,Low
100075,17,Female,BCA,1st,8.3,6.4,10.5,Low,6,3,2,4,8,1.4,Poor,79.0,7.38,Good,Low
100076,24,Female,MBA,3rd,2.7,6.2,3.7,High,7,10,6,1,3,1.4,Average,52.9,6.64,Average,Low
100077,24,Male,BCA,4th,5.8,5.6,7.8,Low,9,6,9,7,2,1.9,Good,50.0,6.45,Average,Medium
100078,19,Other,BCA,3rd,9.6,8.2,5.6,Low,3,8,3,6,10,1.0,Good,69.6,9.49,Average,High
100079,17,Other,BBA,1st,2.6,7.7,6.6,High,4,2,6,8,1,1.0,Poor,90.2,9.76,Poor,High
100080,24,Other,BBA,4th,5.6,8.8,10.0,Low,6,1,10,6,5,0.8,Poor,67.5,9.09,Poor,Low
100081,19,Male,MBA,3rd,2.0,7.7,6.7,Low,6,9,5,5,4,1.1,Good,56.0,7.54,Good,Low
100082,19,Other,BBA,1st,3.9,7.8,1.5,Medium,9,6,3,2,4,0.2,Poor,69.6,6.96,Average,Low
100083,17,Female,BTech,4th,1.8,7.4,10.3,High,4,9,1,5,5,0.7,Poor,72.8,6.58,Average,High
100084,21,Other,BSc,2nd,5.2,6.0,8.3,High,10,3,10,4,2,0.8,Poor,62.3,6.09,Poor,Low
100085,23,Male,BBA,4th,7.5,5.7,9.7,Low,3,5,6,8,3,1.4,Average,71.5,6.74,Poor,Low
100086,25,Male,BTech,2nd,6.2,6.9,10.9,Medium,2,1,5,6,3,0.4,Average,92.4,8.68,Poor,High
100087,23,Other,MBA,2nd,3.4,4.7,6.5,Low,8,5,6,10,1,1.7,Poor,64.0,9.75,Average,Low
100088,25,Male,MCA,1st,4.5,6.1,11.1,Medium,6,9,6,5,9,0.5,Poor,70.4,8.64,Average,Low
100089,24,Other,BTech,4th,3.6,8.6,11.0,Medium,1,5,6,2,9,1.1,Average,87.2,4.5,Good,Low
100090,18,Other,BTech,1st,8.2,4.2,5.3,High,5,6,6,4,3,0.4,Poor,63.6,5.13,Good,High
100091,17,Male,MBA,3rd,4.0,7.7,5.7,Medium,10,5,1,7,2,1.7,Good,50.1,9.27,Average,Low
